"","N.N.1","N.N.2","N.N.3","N.N.4","N.N.5","N.N.6","I.L.1","I.L.2","I.L.3","I.S.4","I.S.5","I.S.6"
"17126214",1.95220885668696,2.61213482319769,2.28522284441885,2.90782350509646,1.98738266393601,2.06440982609349,2.20925814728725,2.77226449645201,2.00060814391817,3.45553004311015,3.07678672542323,2.53697027956262
"16874922",5.41906186395129,5.3585191058881,5.12429046371409,5.15855022256658,5.21997680062992,5.14104919534916,7.97033363805036,7.86430137409158,7.80140464714772,6.03666706625854,5.92014590849664,6.15285782598156
"16820463",2.79744129562801,2.62896340903624,2.32091797110834,3.68918097876269,4.03399264066735,3.35292705749393,2.82866804948887,2.42859935444056,2.55805304821439,1.95142101623488,2.65189602061538,3.24167586247623
"16870998",4.5680700162064,5.0356935362144,4.8414050349164,5.17056782744585,4.17248551375217,4.83404698764986,4.39666393773974,3.48442558067008,1.92686419121268,4.85874345205476,4.1938970181087,3.66742801399212
"16854673",5.58164264552204,5.44902633175593,5.40525989100341,5.31766822273877,4.74213255756193,4.63936946078409,5.30622698241847,5.03529147463965,4.6117520179944,5.14822081636582,4.99233540979494,5.28100102676162
"16912354",5.50403752124955,5.14692185339438,5.63540821201632,4.84233663202796,5.50403752124955,5.07477337541299,5.7733611045103,4.21199192075556,5.30054177696323,5.42508162321658,4.52096637890533,5.24440230284185
"17119348",3.35534444900605,4.08483304684914,2.87066043066323,3.00064582171555,3.57747053279303,3.19849583933787,3.7464425142,2.9742516939566,2.95548862198971,2.76224880613172,3.61599257908323,3.57340604408029
"16983157",3.73999286266241,5.1040426686238,4.06447781630881,5.15861123369219,5.05654190313891,5.18458874904413,3.9438881805153,2.5384987913624,3.37315967101838,3.49412700613021,4.28254317820859,4.6751563628143
"16783830",2.16292796810796,3.84300873712367,1.99132516374672,1.62833060504285,2.1599779924084,2.03228125785147,1.69524659511405,2.52371811398606,4.43888620520497,2.63907735630124,1.27783589125149,1.72080103346318
"16789953",3.53881544975314,3.5231259585727,3.3636613689325,2.98862945513389,3.1989514991705,3.59829443645093,2.21833451320765,1.82409463361194,2.74885702041896,2.75596077985572,3.056021913891,2.47069297589604
"16855180",4.23344011298685,2.97159707127908,4.01385729392387,1.08901950061336,2.44979466198102,2.94888455592152,2.71688620490619,2.34884203057715,1.60575370021575,2.92787218182225,4.58538301024107,1.50706084182341
"16898655",1.89285837631723,2.96536721354341,2.98078209060363,2.65862840917686,2.93540344007478,2.46139123626111,2.53803330372322,2.28295345356928,2.52280737946295,2.40511630662989,3.42415866528791,2.10379043217487
"16898108",3.72236689359579,3.52947488688834,3.7043876326681,3.06698797912235,2.71747575708332,3.17033699953513,3.44601899821194,1.93709792025186,2.92060181908434,2.40131603415322,2.83146706174938,2.73982598001622
"17097773",3.47822437269659,3.82057954304422,4.01893192133172,3.75114865294698,3.1687932799536,2.8240788892244,3.34526111658099,2.79910297064169,4.19895949280621,2.9826082406308,3.10781953818682,2.86798608349825
"16787530",4.89943178413438,4.24183704158968,5.09739829224368,4.83923732738316,5.03471073946214,4.24484910375306,5.06684191786464,5.18398943339936,5.26305805847341,5.25806551214298,4.49909310100253,3.73090430597458
"17103148",1.3567604637702,1.62841843794122,3.03073362712417,1.91135547709521,2.87609123321438,2.90730781168047,1.94616893234878,1.81660285338714,1.83498037708652,1.57056678462506,1.34115238567069,2.49315356392881
"16944931",2.34822940711217,1.69943915967999,2.61249831582481,2.38221822828037,2.48338779643037,2.58750106136982,1.22631289260746,1.87187222272049,1.93061273901101,2.67162109360682,1.88507664964815,1.17461642144745
"17000208",9.66053747923377,9.74442871545467,9.57703354068802,9.26338247835758,9.29108500824992,9.49110464036445,7.31672971539859,7.09936920722817,7.30765796049292,7.8835427434672,8.01124654123639,7.902558722465
"17114764",1.87269662906023,1.63510236516017,2.5506530811622,2.06040768674132,2.29858241186429,1.68026255759315,2.27541129397955,2.48527728140886,1.86702153185987,2.65125271668065,1.84955361979105,2.70981748762256
"17093074",3.10164304725051,2.98314942606481,2.32864933159949,2.11407493544728,1.93112124626332,1.92737850366574,3.51141870694802,2.63688742201475,3.32324259882798,3.31915159213265,3.42818080321107,2.63329043663975
"17112189",3.821246668974,3.77288744123191,4.34489532660431,2.75148794256724,2.63476535680332,2.89228052664193,2.91809655249049,2.32507561263476,2.60109142737884,3.23409637105942,3.58618520731649,2.97787579676111
"16749227",1.60827758574789,1.65455327898076,1.67102318108537,2.319326744284,2.45956524120119,2.51272276943517,1.65863355263689,1.69436269783402,1.66891958485421,2.03114128621619,1.74160737233914,2.28500039109753
"16950750",3.2773900826451,2.05433506585486,2.99535462478823,2.27038877038049,2.20704356375062,2.55227937733047,3.59163577883619,4.17784289733413,3.43511385703635,3.53053986365829,2.00893864057661,2.09873896175581
"17114799",1.52153423698594,2.20341381375533,2.21149543740437,1.89873154957944,2.24161793544127,2.52861138108459,2.40548236551004,2.60784173739495,1.45428413403544,1.8453644610187,2.78216577695328,1.85211236259434
"17114774",1.74708166121742,2.30495119999109,3.08365696728154,3.37701672602353,2.6153731175958,3.20518268862463,2.73174173085613,2.60473947234247,2.55077070332279,2.35806515549662,3.21772629996887,2.85778979935059
